Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Preference modeling by exploiting latent components of ratings,Knowledge and Information Systems,,60,1,10.1007/s10115-018-1198-6,Junhua ChenWei ZengJunming ShaoGe Fan,2019,http://link.springer.com/article/10.1007/s10115-018-1198-6,Article
Enhancing Context-Aware Recommendation Using Trust-Based Contextual Attentive Autoencoder,Neural Processing Letters,,55,5,10.1007/s11063-023-11163-x,S. AbinayaA. Sherly AlphonseS. AbiramiM. K. Kavithadevi,2023,http://link.springer.com/article/10.1007/s11063-023-11163-x,Article
Non-pairwise Collaborative Filtering,Neural Processing Letters,,55,6,10.1007/s11063-023-11277-2,Meng JianChenlin ZhangTuo WangLifang Wu,2023,http://link.springer.com/article/10.1007/s11063-023-11277-2,Article
Robust reputation independence in ranking systems for multiple sensitive attributes,Machine Learning,,111,10,10.1007/s10994-022-06173-0,Guilherme RamosLudovico BorattoMirko Marras,2022,http://link.springer.com/article/10.1007/s10994-022-06173-0,Article
Bi-knowledge views recommendation based on user-oriented contrastive learning,Journal of Intelligent Information Systems,,61,2,10.1007/s10844-023-00778-0,Yi LiuHongrui XuanBohan Li,2023,http://link.springer.com/article/10.1007/s10844-023-00778-0,Article
Exploring potential biases towards blockbuster items in ranking-based recommendations,Data Mining and Knowledge Discovery,,36,6,10.1007/s10618-022-00860-1,Emre Yalcin,2022,http://link.springer.com/article/10.1007/s10618-022-00860-1,Article
A trust-worthy approach to recommend movies for communities,Multimedia Tools and Applications,,81,14,10.1007/s11042-021-11544-1,Govind Kumar JhaManish GaurHardeo Kumar Thakur,2022,http://link.springer.com/article/10.1007/s11042-021-11544-1,Article
On Addressing the Low Rating Prediction Coverage in Sparse Datasets Using Virtual Ratings,SN Computer Science,,2,4,10.1007/s42979-021-00668-8,Dionisis MargarisDimitris SpiliotopoulosGregory KaragiorgosCostas VassilakisDionysios Vasilopoulos,2021,http://link.springer.com/article/10.1007/s42979-021-00668-8,Article
A qualitative analysis of knowledge graphs in recommendation scenarios through semantics-aware autoencoders,Journal of Intelligent Information Systems,,62,3,10.1007/s10844-023-00830-z,Vito BelliniEugenio Di SciascioFrancesco Maria DoniniClaudio PomoAzzurra RagoneAngelo Schiavone,2024,http://link.springer.com/article/10.1007/s10844-023-00830-z,Article
User interface patterns in recommendation-empowered content intensive multimedia applications,Multimedia Tools and Applications,,76,4,10.1007/s11042-016-3946-5,Paolo CremonesiMehdi ElahiFranca Garzotto,2017,http://link.springer.com/article/10.1007/s11042-016-3946-5,Article
